rank,Player,Team,Pos,G,GS,MP,PER,BPM,VORP,WS,WS/48,TS%,composite_score,h2h_win_rate,final_score,Has_Playoff_Data,Playoff_Games,ringer_rank
1,Nikola Jokić,DEN,C,144.0,144.0,8761.0,32.56523227942016,13.58261613971008,9.800000000000002,16.4,0.2992280561579729,0.6615869193014496,4.885007692496214,0.9994362416107382,7.339905827612441,True,74.0,
2,Giannis Antetokounmpo,MIL,PF,134.0,134.0,7799.0,31.630401333504295,10.701051416848314,7.165200666752148,11.5,0.2692600333376074,0.6306520066675214,3.824143486617644,0.9914093959731544,5.849025269434096,True,67.0,3.0
3,Shai Gilgeous-Alexander,OKC,PG,132.0,132.0,7453.0,24.316127733798467,6.2235341473232255,4.861223668321481,16.7,0.1813225546759694,0.5848867570105998,3.146856086886841,0.9778791946308726,4.881462826613786,True,56.0,2.0
4,LeBron James,LAL,SF,126.0,126.0,7654.0,25.082414423830674,7.029448654298406,4.972275934152076,7.7,0.16561379670760387,0.6142103475307028,2.5049781427045326,0.9375167785234901,3.9129171587655973,True,56.0,18.0
5,Joel Embiid,PHI,C,87.0,87.0,6316.5,30.49118974115412,8.682023272381857,5.9820232723818565,1.4,0.2398230032454682,0.612728568036096,2.322138299889311,0.9186442953020133,3.623215304530249,True,68.0,71.0
6,Jayson Tatum,BOS,PF,148.0,148.0,9451.5,21.772237211024702,5.05552557795059,4.8,9.5,0.17038813944876477,0.5791105115590117,2.3201024901165277,0.9168322147651007,3.6169899623787956,True,76.0,
7,Karl-Anthony Towns,NYK,C,146.0,146.0,8707.0,23.89764557252785,4.595291145055702,4.139830021821523,10.1,0.19726553347881018,0.6371092224646835,2.24819226795662,0.9091812080536912,3.5026233844646506,True,74.0,21.0
8,Rudy Gobert,MIN,C,138.0,138.0,7688.0,22.71207075962539,3.7613423517169613,3.2272632674297608,10.1,0.24536316337148806,0.718022372528616,2.23935560426702,0.9073825503355704,3.4869619841502346,True,66.0,52.0
9,Luka Dončić,2TM,PG,115.0,115.0,7521.5,24.864807551685168,7.847211327527753,5.429615103370338,5.9,0.15923519244831483,0.5747630791730373,2.2153802303153194,0.9023758389261746,3.4442327878914174,True,65.0,
10,Jarrett Allen,CLE,C,138.0,138.0,6818.5,22.696942142700006,4.001019285766664,3.0030578572999924,11.6,0.23106115714599984,0.7067550047664443,2.19056389325866,0.9008322147651006,3.40681838795368,True,56.0,59.0
11,Stephen Curry,GSW,PG,134.0,134.0,7779.5,21.428947875827497,5.944739379137476,4.515791503309982,7.9,0.17155260620862522,0.6059211388906741,2.1613664636815137,0.8935436241610737,3.3525515062757845,True,64.0,7.0
12,Jimmy Butler,2TM,SF,112.0,112.0,6573.5,23.281265687989656,5.928143302654599,3.734388073324713,8.7,0.2306561192667529,0.6010308055069598,2.0875941857576406,0.8814496644295303,3.227274928589373,True,57.0,24.0
13,Domantas Sabonis,SAC,C,132.0,131.0,7769.0,22.212652851074782,4.443918136182262,3.575183421289741,10.1,0.17150611404299138,0.6426277513193461,2.087540533333028,0.8806040268456374,3.225616809200336,True,62.0,38.0
14,James Harden,LAC,PG,144.0,144.0,8836.5,20.615939568833813,4.094686810388728,3.920935890907033,8.3,0.14915939568833814,0.5826843772987041,1.9752017906793926,0.8605100671140941,3.0317072285271625,True,65.0,22.0
15,Ivica Zubac,LAC,C,156.0,156.0,7254.0,20.321367521367524,1.5681555004135652,2.0596360628618693,11.7,0.19712848083815823,0.6531271022883925,1.9304289852918848,0.8494228187919464,2.948659149666983,True,76.0,47.0
16,Kevin Durant,PHO,PF,117.0,117.0,7382.5,24.25005079580088,5.972773450728073,4.247748052827633,5.2,0.1713078225533356,0.6364544530985439,1.8751098415082086,0.8373422818791946,2.8490792856411473,True,55.0,11.0
17,Donovan Mitchell,CLE,SG,138.0,138.0,7897.0,21.40215271622135,4.130416613904014,3.486944409269343,7.6,0.15510902874509308,0.5728479169304799,1.844083492588784,0.8307785234899328,2.7936253211381494,True,67.0,8.0
18,Tyrese Haliburton,IND,PG,150.0,150.0,9188.5,19.16028731566632,3.4535887250367305,3.5801436578331614,10.4,0.14607297164934427,0.6006016760080535,1.8252682938827622,0.8261208053691275,2.7587283423311435,True,77.0,
19,Anthony Davis,2TM,C,91.0,91.0,5216.0,24.684969325153375,4.323312883435583,2.3924846625766873,6.7,0.1657933282208589,0.5812707055214723,1.7498019951743953,0.8084026845637583,2.6205636871149527,True,40.0,19.0
