rank,Player,Team,Pos,G,GS,MP,PER,BPM,VORP,WS,WS/48,TS%,composite_score,h2h_win_rate,final_score,Has_Playoff_Data,Playoff_Games,ringer_rank
20,Trae Young,ATL,PG,152.0,152.0,9369.0,23.324335574767854,3.825968619916747,3.8937239833493438,5.7,0.1573198847262248,0.5924755043227666,1.7104542493098585,0.7957852348993288,2.542197483644691,True,76.0,39.0
21,Bam Adebayo,MIA,C,134.0,134.0,7236.5,20.728404615490916,3.1348718303047054,2.6999999999999997,7.5,0.16841567055897189,0.5906327644579561,1.6734633715647287,0.7880402684563759,2.4762339585794004,True,56.0,30.0
22,Jalen Duren,DET,C,78.0,78.0,2034.0,21.4,3.1,2.7,9.2,0.218,0.703,1.5592693588837425,0.7529127516778524,2.2515926244013014,False,0.0,43.0
23,Pascal Siakam,IND,PF,146.0,146.0,8993.0,19.988335371955966,2.990003335927944,3.260002223951963,7.5,0.14845001667963972,0.574633270321361,1.5385190356242466,0.7449261744966442,2.2077701654105306,True,68.0,25.0
24,Ja Morant,MEM,PG,107.0,107.0,6241.5,23.15880797885124,5.1995273572058,3.364583834014259,3.5,0.1566411119122006,0.5720795481855323,1.512551026749346,0.735946308724832,2.154829021389053,True,57.0,60.0
25,Kristaps Porziņģis,BOS,C,93.0,93.0,4912.5,23.355165394402036,4.0970483460559795,2.1753689567430023,5.3,0.18788193384223917,0.5870987277353689,1.495904511623285,0.7330604026845637,2.1262668319624547,True,51.0,
26,Evan Mobley,CLE,PF,140.0,140.0,7994.5,17.78058039902433,1.6842454187253735,2.069228844830821,9.0,0.13220870598536494,0.5717691537932328,1.489426464610778,0.7285369127516778,2.1087843629559524,True,69.0,16.0
27,Darius Garland,CLE,PG,143.0,143.0,8376.0,19.247242120343838,2.737356733524355,2.854942693409742,8.1,0.1370873925501433,0.582593123209169,1.4741442452397995,0.7251409395973154,2.0811650361122176,True,68.0,44.0
28,Anthony Edwards,MIN,SG,151.0,151.0,9036.0,17.64382470119522,2.1849601593625496,2.82609561752988,8.4,0.10179282868525898,0.5711205179282869,1.471965866538179,0.7216510067114095,2.071599531192975,True,72.0,6.0
29,Chris Paul,SAS,PG,147.0,147.0,7639.5,18.969880227763596,4.019909679952876,3.279952876497153,5.7,0.18299823286864322,0.5806999803652071,1.4560186829091184,0.7192214765100671,2.044864811947205,True,65.0,
30,Devin Booker,PHO,SG,143.0,143.0,8657.5,20.654317066127636,2.9054865723361245,2.9866012128212533,6.4,0.14147213398787178,0.5801969390701703,1.4306787447469815,0.70751677852349,1.9876951031836054,True,68.0,12.0
31,Jalen Williams,OKC,SG,69.0,69.0,2237.0,20.3,4.0,3.4,7.8,0.168,0.573,1.4106413101505382,0.7019328859060404,1.9493634907818953,False,0.0,17.0
32,DeMar DeRozan,SAC,SF,153.0,153.0,9625.5,21.54712482468443,1.7523193600332452,2.5823749415614774,7.1,0.145085346215781,0.5839610409848839,1.4016192175162183,0.7006040268456375,1.934323836707332,True,76.0,77.0
33,Jalen Brunson,NYK,PG,144.0,126.0,8611.0,18.302473580304266,1.5413192428289397,2.2206596214144696,8.3,0.15074927418418302,0.5888787597259318,1.3370972783357946,0.6771409395973155,1.800627118874272,True,79.0,9.0
34,Robert Williams,POR,C,81.0,64.0,4861.0,21.86893643283275,5.319481588150587,3.1833779057807035,1.3,0.2557179592676404,0.7402343139271754,1.3388652938938115,0.6750604026845637,1.799190879849442,True,61.0,
35,Josh Hart,NYK,SG,131.0,130.0,7374.5,16.25713607702217,1.646396365855312,2.203532442877483,9.2,0.1311422469319954,0.6103928401925555,1.3316126424875294,0.6707651006711408,1.7810580869701755,True,54.0,92.0
36,Damian Lillard,MIL,PG,87.0,87.0,4733.0,19.738199873230506,2.4939784491865624,1.9170927530107755,7.6,0.12145256708218889,0.5813972110712022,1.3153454853086288,0.6662818791946309,1.7500326350920867,True,29.0,
37,Desmond Bane,MEM,SG,145.0,144.0,7870.0,17.68405336721728,2.8400889453621345,2.756035578144854,6.5,0.14991804320203303,0.5942414231257942,1.2986345059819344,0.6585100671140939,1.7122317726807013,True,76.0,53.0
38,Victor Wembanyama,SAS,C,46.0,46.0,1527.0,24.2,6.5,3.3,3.8,0.118,0.594,1.2593801242464926,0.6447382550335571,1.6318338802561105,False,0.0,5.0
39,Jakob Poeltl,TOR,C,125.0,123.0,6611.0,20.595976402964755,1.7020117985176222,1.7000000000000002,5.5,0.16544970503705944,0.6201408258962335,1.2361005087929935,0.6369261744966443,1.5848194773993278,True,68.0,
40,Nikola Vučević,CHI,C,146.0,145.0,8323.0,18.774768713204374,1.365288958308302,2.04632944851616,7.3,0.1072430613961312,0.5543485522047339,1.2191252540509332,0.6303087248322148,1.5488125360614495,True,73.0,
41,Daniel Gafford,DAL,C,129.0,84.0,4836.0,22.535194375516955,2.157733664185277,1.4267576509511994,5.9,0.20661952026468158,0.7100281224152191,1.1781348216764618,0.611959731543624,1.4574285933884166,True,72.0,
42,Dejounte Murray,NOP,PG,99.0,99.0,6927.0,21.291944564746643,4.377335065685001,3.771791540349358,0.2,0.1285467013137,0.5273022953659593,1.1657040286744302,0.6061610738255033,1.4292770136812445,True,68.0,
43,Kyrie Irving,DAL,SG,79.0,79.0,4531.5,20.80284673949023,3.1592408694692704,1.8379123910404944,4.6,0.13784365000551693,0.5927962043473464,1.1589826638896745,0.6021879194630873,1.4124865648570442,True,29.0,
44,Derrick White,BOS,SG,151.0,128.0,8071.5,15.374019698940717,1.7291395651365917,2.237799665489686,8.5,0.1259882921390076,0.567177290466456,1.150962125739039,0.6004026845637583,1.3979856743593604,True,75.0,45.0
45,Amen Thompson,HOU,SF,69.0,42.0,2225.0,18.7,4.1,3.4,8.0,0.172,0.602,1.1261962757638513,0.590979865771812,1.3458875047930507,False,0.0,34.0
46,Jrue Holiday,BOS,PG,129.0,126.0,7413.5,18.188777230727727,2.5606258852094155,2.4908005665340256,5.1,0.14488500708167532,0.5858390099143455,1.1187095390489232,0.587006711409396,1.3280322880073634,True,67.0,51.0
47,Isaiah Hartenstein,OKC,C,125.0,53.0,4630.0,20.935421166306696,4.053563714902808,2.034341252699784,6.8,0.21156587473002159,0.6416781857451405,1.1129348216311787,0.5828187919463087,1.3121566399068492,True,68.0,62.0
48,Zach LaVine,2TM,SG,141.0,141.0,8422.0,19.16582759439563,1.8747803372120635,2.3528378057468533,5.1,0.11196722868677274,0.6155043932557588,1.0943011213848972,0.5785234899328858,1.27819079162637,True,67.0,64.0
49,Fred VanVleet,HOU,PG,125.0,125.0,8266.0,16.150774255988384,2.910464553593032,2.989233002661505,5.2,0.12793539801596904,0.5425508105492379,1.0861202853595915,0.5749530201342281,1.2601239975118959,True,65.0,
50,Deandre Ayton,POR,C,98.0,98.0,5488.5,20.977124897512983,2.0309374145941512,1.7264553156600164,2.8,0.18322410494670677,0.6399595517901067,1.0770945211215026,0.5671946308724832,1.2330397655282999,True,58.0,
51,LaMelo Ball,CHO,PG,122.0,122.0,7560.0,19.580555555555556,3.3601851851851854,3.0412037037037036,2.0,0.10584722222222223,0.5504166666666668,1.0668182447849808,0.5624161073825504,1.20979572930423,True,75.0,49.0
52,Jaren Jackson Jr.,MEM,C,152.0,152.0,7522.0,17.76285562350439,0.6041744216963573,1.4107684126562083,6.4,0.12628130816272268,0.5514307365062483,1.0233262419559266,0.5448456375838926,1.1163894653023863,True,78.0,41.0
53,Jaylen Brown,BOS,SF,129.0,129.0,7708.0,18.592034250129736,1.512065386611313,1.8920342501297358,5.2,0.12148028022833421,0.5686805915931499,1.0183846477014993,0.5451275167785234,1.1100426586090668,True,66.0,13.0
54,Zion Williamson,NOP,PF,30.0,30.0,857.0,27.3,7.0,1.9,2.5,0.141,0.6,1.017393881527261,0.5446845637583893,1.1078348857495803,False,0.0,61.0
55,Mike Conley,MIN,PG,143.0,136.0,6901.0,16.20762208375598,2.6165338356759893,2.3692073612519926,5.2,0.1531831618605999,0.5722544558759599,1.0172132236493983,0.5440536912751678,1.1064022327609317,True,72.0,
56,Clint Capela,ATL,C,129.0,114.0,6281.0,20.707244069415697,1.4383060022289444,1.7629836013373665,3.2,0.18301719471421748,0.5965107466963859,1.0185008842330228,0.5426442953020135,1.1055544645097846,True,74.0,
57,Al Horford,BOS,C,129.0,111.0,6671.5,15.75505508506333,3.529123885183242,2.7275275425316647,4.4,0.16806917484823503,0.5712646331409728,0.997846412936233,0.5335838926174497,1.0598545851401595,True,69.0,
58,Alperen Şengün,HOU,C,148.0,89.0,6117.5,18.11409889660809,1.1140988966080916,1.7702492848385778,8.3,0.10636697997548018,0.5492595014303229,0.9967552680393612,0.5338657718120806,1.05886443571585,True,72.0,
59,Jonas Valančiūnas,2TM,C,155.0,95.0,7124.0,21.114430095451993,1.621897810218978,1.94329028635598,4.3,0.15193542953396966,0.6137911285794497,0.9751134724117803,0.5251812080536913,1.012494781875149,True,74.0,
60,Mitchell Robinson,NYK,C,89.0,65.0,4910.0,20.682281059063136,2.264969450101833,1.9054989816700612,1.3,0.22099999999999997,0.7192830957230142,0.9521481191045462,0.5171677852348993,0.96554055444864,True,72.0,100.0
61,Mark Williams,CHO,C,44.0,41.0,1171.0,23.9,3.5,1.6,4.7,0.195,0.647,0.9477988217546696,0.513261744966443,0.9521757446682357,False,0.0,
62,Tyler Herro,MIA,SG,143.0,87.0,8102.5,17.377105831533477,1.5071582844800988,2.1726319037334156,7.4,0.09980684973773528,0.5757979018821352,0.9267863114790897,0.5032483221476509,0.9041932135381134,True,66.0,54.0
63,Walker Kessler,UTA,C,58.0,58.0,1740.0,20.0,1.8,1.7,5.4,0.149,0.66,0.9184084527920309,0.4990738255033558,0.8847212693071739,False,0.0,
64,Miles Bridges,CHO,PF,144.0,144.0,9121.5,17.855511703119003,1.5667324453214933,2.3887792577975113,3.2,0.1123228087485611,0.5814330428109412,0.9158661671000785,0.4977181208053691,0.8786459055788207,True,80.0,
65,Julius Randle,MIN,PF,141.0,141.0,8586.0,16.166666666666668,0.7074074074074074,1.6518518518518517,6.2,0.07844444444444443,0.5307777777777778,0.8670205230214185,0.476751677852349,0.7714327260198434,True,72.0,33.0
66,Onyeka Okongwu,ATL,C,122.0,46.0,4544.0,19.43661971830986,1.0271126760563383,1.154225352112676,7.2,0.186556338028169,0.677661971830986,0.863635607734214,0.4744429530201343,0.7624005591249834,True,48.0,87.0
67,Mikal Bridges,NYK,SF,164.0,164.0,10171.0,14.28060171074624,0.9731589814177564,2.1821059876118376,5.7,0.1320902566119359,0.6144631796283552,0.8581807480644623,0.4737852348993289,0.7535802877883513,True,82.0,56.0
68,Christian Braun,DEN,SG,79.0,77.0,2675.0,16.0,0.3,1.6,8.0,0.144,0.665,0.8520146126499714,0.46846979865771815,0.7350488020900652,False,0.0,91.0
69,Scottie Barnes,TOR,PF,139.0,139.0,8676.5,16.668927562957414,1.2689275629574135,1.9983806834553104,3.5,0.11117812481991586,0.54486740044949,0.8281445570691954,0.46004026845637586,0.6860568011245621,True,74.0,31.0
70,Cameron Johnson,BRK,PF,123.0,73.0,6125.0,16.081632653061224,2.817551020408163,2.1587755102040815,5.1,0.15041632653061227,0.6270571428571429,0.8301808593570923,0.4571140939597316,0.6834103171149409,True,66.0,
71,Myles Turner,IND,C,114.0,114.0,5261.5,16.862852798631568,0.986809845101207,1.1826380309797588,4.7,0.11338895752161932,0.6137604295353036,0.8108613178079926,0.4497315436241611,0.6427093856715337,True,42.0,68.0
72,OG Anunoby,NYK,PF,122.0,122.0,7026.0,15.031084543125534,0.5770281810418445,1.4081127241673783,6.5,0.10862169086251067,0.5651759180187874,0.8068435795315725,0.4481208053691276,0.6341038487138934,True,48.0,42.0
73,Tyrese Maxey,PHI,PG,127.0,126.0,8585.0,16.953407105416424,0.9196272568433314,1.8456610366919044,3.8,0.12332440302853814,0.5866942341292953,0.8037050270509765,0.44702013422818787,0.6276765295049538,True,75.0,15.0
74,Cade Cunningham,DET,PG,134.0,134.0,7672.0,15.497028154327426,0.1578206465067778,1.3186131386861313,5.9,0.029270072992700735,0.5234958289885298,0.7889783661658207,0.4415570469798658,0.5969593556219842,True,64.0,10.0
75,Wendell Carter Jr.,ORL,C,130.0,112.0,6388.0,17.10654351909831,0.8294301815904821,1.314715090795241,4.6,0.12789918597370067,0.5853134001252348,0.7862550138032989,0.43994630872483215,0.5901545388065219,True,62.0,
76,Jamal Murray,DEN,PG,67.0,67.0,2418.0,17.8,0.8,1.7,6.2,0.123,0.584,0.7868680555086938,0.4387248322147651,0.5887201404708425,False,0.0,29.0
77,Franz Wagner,ORL,SF,139.0,139.0,8095.5,16.049416342412453,0.24958927799394728,1.2498054474708171,5.6,0.09249416342412452,0.5587501080847385,0.7756340064104701,0.43595973154362416,0.5679138615928867,True,79.0,37.0
78,Brook Lopez,MIL,C,93.0,91.0,3291.0,15.071649954421149,0.32461257976299,1.4151625645700396,6.6,0.12037800060771801,0.6117757520510483,0.7751563328330023,0.4298523489932886,0.5558130931885297,True,13.0,
79,Goga Bitadze,ORL,C,120.0,58.0,3252.5,18.52759415833974,0.6508839354342814,0.8155265180630284,5.8,0.15409531129900078,0.6108278247501923,0.7641930477832934,0.4352214765100671,0.5506150584468248,True,50.0,
80,John Collins,UTA,PF,94.0,84.0,5377.5,18.768061366806137,1.386564388656439,1.3638772663877266,2.5,0.13511018131101815,0.6140836820083682,0.7614617349566766,0.427503355704698,0.5323629273902607,True,54.0,
81,Paolo Banchero,ORL,PF,46.0,46.0,1582.0,20.0,3.5,2.2,3.5,0.106,0.551,0.757464366582069,0.42536912751677847,0.5228054794472594,False,0.0,28.0
82,Dyson Daniels,ATL,SG,76.0,76.0,2571.0,15.6,1.5,2.3,5.0,0.093,0.545,0.7526749903386314,0.42412080536912755,0.5138050913722817,False,0.0,73.0
83,Brandon Clarke,MEM,PF,128.0,19.0,4322.0,21.996459972235076,3.2504858861638133,1.6928042572882924,4.4,0.2222889865802869,0.6538560851457659,0.7509154483119198,0.42257718120805365,0.5084667784644633,True,64.0,
84,Harrison Barnes,SAS,PF,159.0,159.0,8697.5,15.494883587237712,0.148720896809428,1.348720896809428,5.6,0.11405116412762288,0.6314610520264443,0.7475693779761872,0.4213959731543624,0.501599957593419,True,77.0,
85,Draymond Green,GSW,PF,114.0,110.0,5305.5,13.58985015549901,2.1908396946564888,1.6131184619734238,3.7,0.11492818772971444,0.5640593723494487,0.7269863375937768,0.4122684563758389,0.45587377831652925,True,46.0,57.0
86,Norman Powell,LAC,SG,105.0,101.0,5603.0,16.71934677851151,0.32902016776726756,1.0193467785115116,5.3,0.10558040335534535,0.6071934677851151,0.7151832922698966,0.40830872483221475,0.432038946096425,True,45.0,
87,Austin Reaves,LAL,SG,134.0,92.0,6095.0,14.261279737489746,-0.3101722723543888,1.0877768662838392,7.6,0.11666365873666941,0.6066940114848236,0.7096280220108191,0.40416107382550337,0.416543991653763,True,61.0,32.0
88,Nic Claxton,BRK,C,117.0,81.0,4317.0,17.68450312717165,0.4564049108176975,0.8179754459115127,4.3,0.14440699559879547,0.6270970581422284,0.7062004152640204,0.40326174496644296,0.4100915656419832,True,47.0,
89,Tobias Harris,DET,PF,146.0,146.0,8662.5,15.367821067821067,0.02660894660894661,1.2733910533910533,5.2,0.10579826839826839,0.5673304473304474,0.6934185757403719,0.3993959731543624,0.38507099942093437,True,73.0,
90,Khris Middleton,2TM,SF,103.0,87.0,6195.5,17.90950690016948,1.47754015010895,1.7231135501573722,2.0,0.11859180050036316,0.5784967314986684,0.6790668929883532,0.39222818791946307,0.35168339324498515,True,66.0,
91,Steven Adams,HOU,C,134.0,78.0,5791.5,17.462902529569195,1.7669343002676337,1.7943537943537944,2.3,0.15943546576879913,0.5573951480618148,0.677841892889514,0.39053691275167784,0.34681224234434765,True,76.0,
92,Josh Giddey,CHI,PG,124.0,123.0,6367.0,14.895979268101149,0.39673315533218156,1.2314904978796923,5.3,0.04690702057483901,0.5085896026386052,0.6769489362334888,0.3887248322147651,0.3421768113660616,True,54.0,48.0
93,Kevon Looney,GSW,C,158.0,86.0,5472.0,15.971308479532164,0.7747807017543861,1.1747807017543859,4.3,0.18595650584795323,0.5753563596491227,0.6716114242591535,0.38895302013422817,0.3351786746045844,True,82.0,
94,Kawhi Leonard,LAC,SF,37.0,37.0,1180.0,20.5,3.1,1.5,3.5,0.141,0.589,0.6590011875171197,0.38271140939597315,0.3059480152919569,False,0.0,20.0
95,Payton Pritchard,BOS,PG,151.0,5.0,4773.5,16.23695401696868,2.6087776264795224,2.0466533989734996,8.6,0.1646513040745784,0.6041663349743376,0.6546998373010863,0.3831812080536912,0.30084378579513654,True,71.0,79.0
96,De'Aaron Fox,2TM,PG,121.0,121.0,7448.5,17.67077935154729,-0.2991340538363429,0.8805195676981942,4.3,0.06853030811572801,0.5523095254078003,0.6375977349744331,0.3746577181208054,0.2610912647834013,True,59.0,36.0
97,Andrew Wiggins,2TM,SF,133.0,133.0,7664.5,15.336460303998955,0.5201643942853416,1.4,4.0,0.1047596712114293,0.5614419727314242,0.6277173719565162,0.36766442953020134,0.23425080628373374,True,73.0,93.0
98,Jaxson Hayes,LAL,C,126.0,63.0,4588.0,17.85677855274629,0.08088491717523977,0.7285309503051438,3.7,0.17114123801220577,0.6895292066259809,0.6061659984193412,0.3585503355704698,0.18720263861482656,True,70.0,
99,Dwight Powell,DAL,C,137.0,74.0,5046.0,17.532183908045976,0.8017241379310345,1.1908045977011494,1.7,0.21113793103448278,0.7236896551724138,0.5993938822923042,0.35660402684563747,0.17413690922788355,True,82.0,
100,Gary Payton II,GSW,SG,133.0,27.0,4044.5,17.433279762640623,3.1728396587958954,1.5707998516503896,3.0,0.18891519347261715,0.6689151934726172,0.5938250222750081,0.35190604026845634,0.15759253070982854,True,71.0,
101,Kevin Love,MIA,PF,97.0,13.0,4413.5,19.406638722102638,4.266829047241418,2.557822589781353,0.4,0.15939345190891582,0.5879716778067293,0.5911369146049994,0.3535838926174496,0.15699472079667104,True,74.0,
102,Aaron Gordon,DEN,PF,126.0,117.0,7387.0,15.633003925815622,-0.24740760795992964,0.958765398673345,4.3,0.11244361716529036,0.6114024637877351,0.5840969756649228,0.3510335570469798,0.1424253457386353,True,75.0,35.0
103,Luke Kornet,BOS,C,88.0,16.0,1618.5,19.1227062094532,2.6954278653073835,1.5136237256719185,7.0,0.23772690763052207,0.6548396663577387,0.5867138434015331,0.3481879194630872,0.14073733868939142,True,15.0,
104,Dereck Lively II,DAL,C,36.0,29.0,833.0,20.1,3.3,1.1,3.4,0.199,0.704,0.5781357890121667,0.34491275167785235,0.12267090449887746,False,0.0,
105,Tyus Jones,PHO,PG,154.0,81.0,6046.5,15.78090630943521,1.1247250475481683,1.2921359464152815,4.4,0.13570809559249153,0.5587414206565783,0.5740102817995886,0.34371812080536907,0.1146946142405103,True,73.0,
106,Andre Drummond,PHI,C,113.0,59.0,4343.5,20.1354898123633,0.5219408311269713,0.9579371474617244,1.2,0.15409301254748475,0.5672568205364337,0.5708931294032119,0.3440805369127517,0.11103673697975897,True,73.0,
107,Alex Caruso,OKC,SG,95.0,21.0,3908.5,12.818638864014329,1.2121018293462966,0.8663425866700781,3.9,0.10810157349366764,0.5386537034668031,0.35712457947221754,0.5,0.10561024161406536,True,41.0,63.0
108,Kyle Anderson,2TM,PF,130.0,15.0,4712.0,14.548853989813242,1.2637945670628183,1.1362054329371818,2.8,0.11767826825127334,0.512804753820034,0.35500943390984263,0.5,0.1026676993807862,True,69.0,
109,Thomas Bryant,2TM,C,93.0,17.0,2060.5,16.880417374423683,-0.25222033487017714,0.33368114535306964,3.1,0.1338903178840087,0.610271536034943,0.3517716907195371,0.5,0.09816342494811371,True,27.0,
110,Brandon Ingram,NOP,SF,73.0,73.0,5267.5,18.39501661129568,1.7401993355481729,1.7192691029900333,0.0,0.08793023255813955,0.5546777408637874,0.5641573156027828,0.3416912751677852,0.09719206899134503,True,55.0,55.0
111,Keldon Johnson,SAS,SF,152.0,74.0,7818.0,15.29403939626503,-0.7586083397288309,0.7354310565361986,3.2,0.09523842414939881,0.5735298030186748,0.34904664573898947,0.5,0.09437240456375609,True,75.0,
112,Caris LeVert,2TM,SG,122.0,52.0,6048.5,15.126386707448127,-0.6458791435893196,0.611093659585021,4.0,0.07483202446887657,0.5400404232454328,0.3465283823095887,0.5,0.09086905395406378,True,58.0,
113,Rui Hachimura,LAL,PF,101.0,70.0,4226.5,14.325127173784454,-1.090453093576245,0.32110493315982486,4.3,0.08936176505382705,0.596688394652786,0.3417446029552774,0.5,0.08421396929457364,True,42.0,
114,Royce O'Neale,PHO,SF,152.0,99.0,7852.0,10.838092205807438,0.6362328069281712,1.5362328069281712,2.8,0.1005776872134488,0.6026190779419256,0.3410310948450871,0.5,0.08322135309577885,True,77.0,
115,Kelly Olynyk,2TM,C,84.0,23.0,2801.0,16.1274187790075,0.8683684398429133,0.5727597286683327,1.7,0.10018279186004997,0.5762688325598,0.3365420639517079,0.5,0.0769763157682146,True,40.0,
116,Alec Burks,MIA,SG,130.0,58.0,6658.0,13.583343346350254,0.7351907479723641,1.5444577951336738,1.8,0.12262991889456294,0.5653513066987084,0.33521488006763456,0.5,0.07512996783846346,True,81.0,
117,Zach Collins,2TM,PF,92.0,16.0,2232.0,16.224910394265233,-0.1124551971326165,0.33131720430107525,2.7,0.12412813620071683,0.598814964157706,0.33487127120908694,0.5,0.0746519470364956,True,28.0,
118,Jaden McDaniels,MIN,PF,152.0,113.0,7121.5,11.40117250579232,-1.8355332444007582,0.2607035034753914,6.3,0.08335287509653866,0.5563035175173769,0.33167784314916093,0.5,0.0702093228018211,True,70.0,50.0
119,Gary Trent Jr.,MIL,SG,144.0,78.0,8013.0,13.99127667540247,-0.22523399475851744,1.040134780980906,3.3,0.10385773118682141,0.5566308498689629,0.329694812546817,0.5,0.06745057588573164,True,70.0,
120,Drew Eubanks,2TM,C,132.0,35.0,3858.5,17.535985486588054,-1.264662433588182,0.21933393805883114,1.7,0.12555319424646882,0.6349065699105871,0.32825298451122376,0.5,0.0654447376288623,True,71.0,
121,Jusuf Nurkić,2TM,C,107.0,88.0,5010.5,18.981658517114063,-0.03944716096197986,0.7514918670791338,1.5,0.10066520307354557,0.5794232112563616,0.5506369645311753,0.3345503355704698,0.06501126166208776,True,56.0,
122,Paul Reed,DET,C,83.0,2.0,1193.0,20.37200335289187,2.39371332774518,0.37342833193629504,1.6,0.19768147527242247,0.5698357082984074,0.32723689695905095,0.5,0.06403117981602759,True,38.0,
123,CJ McCollum,NOP,PG,118.0,118.0,7194.5,17.66340259920773,1.0596914309542012,1.6416498714295642,1.5,0.07005052470637292,0.5522360831190493,0.5504066193079878,0.33348993288590606,0.06270517779590451,True,62.0,
124,John Konchar,MEM,SG,118.0,11.0,3788.0,13.720116156283,1.5294614572333687,1.0968848996832101,1.5,0.15146462513199577,0.6116119324181626,0.3260914144135488,0.5,0.062437610641601755,True,72.0,
125,Chet Holmgren,OKC,C,32.0,32.0,877.0,19.2,2.4,1.0,3.2,0.173,0.599,0.545970204710399,0.33540939597315433,0.06012758586038791,False,0.0,27.0
126,Tre Jones,2TM,PG,115.0,20.0,3775.0,15.311655629139073,-0.02052980132450331,0.4958940397350993,2.9,0.12915099337748343,0.5622609271523178,0.32371695013685464,0.5,0.059134310131286,True,69.0,
