day,date,day_of_week,player_slot,rank,player,team,final_score,bpm
15,2025-12-05,Friday,4,42,Mark Williams,PHO,13.985073135855735,1.6
15,2025-12-05,Friday,5,57,Moussa Diabaté,CHO,12.551416683862708,1.2
16,2025-12-06,Saturday,1,26,Neemias Queta,BOS,15.793403919551633,1.5
16,2025-12-06,Saturday,2,68,Kevin Durant,HOU,11.9668154548967,1.3
16,2025-12-06,Saturday,3,30,Jalen Suggs,ORL,15.293581373786742,3.8
16,2025-12-06,Saturday,4,18,Goga Bitadze,ORL,16.758229551842177,5.2
16,2025-12-06,Saturday,5,40,Nae'Qwan Tomlin,CLE,14.10127927113763,-0.2
17,2025-12-07,Sunday,1,14,Chet Holmgren,OKC,17.59182005848814,2.8
17,2025-12-07,Sunday,2,44,OG Anunoby,NYK,13.694725707080856,2.2
17,2025-12-07,Sunday,3,47,Alex Caruso,OKC,13.626844662842023,3.3
17,2025-12-07,Sunday,4,72,Ryan Dunn,PHO,11.196831344043204,0.4
17,2025-12-07,Sunday,5,66,Norman Powell,MIA,12.010869026867288,5.2
18,2025-12-08,Monday,1,50,Santi Aldama,MEM,13.27593447076956,2.3
18,2025-12-08,Monday,2,53,Isaiah Hartenstein,OKC,12.801726036159463,4.0
18,2025-12-08,Monday,3,61,Pascal Siakam,IND,12.203317160574596,2.5
18,2025-12-08,Monday,4,55,Bam Adebayo,MIA,12.594119837773642,2.5
18,2025-12-08,Monday,5,32,Naz Reid,MIN,14.895915257148742,0.4
19,2025-12-09,Tuesday,1,41,Jarrett Allen,CLE,14.005821221229615,1.9
19,2025-12-09,Tuesday,2,2,Shai Gilgeous-Alexander,OKC,20.2990001377179,13.6
19,2025-12-09,Tuesday,3,12,Branden Carlson,OKC,17.985146088630653,0.0
19,2025-12-09,Tuesday,4,15,Stephen Curry,GSW,17.266663146952833,6.5
19,2025-12-09,Tuesday,5,69,Lauri Markkanen,UTA,11.893360191139584,3.8
20,2025-12-10,Wednesday,1,43,Ajay Mitchell,OKC,13.940403774925969,1.6
20,2025-12-10,Wednesday,2,63,Jimmy Butler,GSW,12.128440537046185,6.1
20,2025-12-10,Wednesday,3,36,James Harden,LAC,14.59146918963121,6.7
20,2025-12-10,Wednesday,4,37,Clint Capela,HOU,14.51685660214926,1.7
20,2025-12-10,Wednesday,5,60,Stephon Castle,SAS,12.231408124087464,0.8
21,2025-12-11,Thursday,1,54,Jaden McDaniels,MIN,12.756593951797193,0.1
21,2025-12-11,Thursday,2,35,Jaylen Brown,BOS,14.663179173614845,2.8
21,2025-12-11,Thursday,3,75,Ryan Rollins,MIL,10.907604170638004,0.6
