rank,Player,Team,Pos,Age,G,GS,MP,final_score,composite_score,playing_time_factor,elo_rating,h2h_win_rate,PER,BPM,VORP,WS/48,TS%,trajectory,ringer_rank
1,Victor Wembanyama,SAS,C,22.0,12.0,12.0,416.0,20.855302084036133,1.288992910652532,0.7392,2068.7353704647885,0.9896,25.7,6.4,0.9,0.196,0.609,1.2999999999999985,5.0
2,Shai Gilgeous-Alexander,OKC,PG,27.0,18.0,18.0,595.0,20.2990001377179,3.6365852494523256,0.96,1940.425876872746,0.9130799999999999,33.5,13.6,2.3,0.388,0.671,2.6,2.0
3,Paul Reed,DET,C,26.0,14.0,2.0,168.0,19.949528239888938,0.4622667790880445,0.3,2082.2351210873767,0.9632133333333331,25.7,6.0,0.3,0.249,0.72,0.2899999999999997,
4,Giannis Antetokounmpo,MIL,PF,31.0,13.0,13.0,414.0,19.8826453771736,2.1945301941197433,0.7567999999999999,1961.5712836815683,0.9285066666666667,34.7,11.3,1.4,0.271,0.662,-0.45999999999999946,3.0
5,Nikola Jokić,DEN,C,30.0,17.0,17.0,592.0,19.419136877266652,4.472642337897232,0.94,1878.3426090332391,0.85984,36.7,18.2,3.0,0.412,0.729,-0.1000000000000006,
6,Luka Dončić,LAL,PG,26.0,12.0,12.0,445.0,18.88361703282677,1.8135073410697757,0.774,1907.3461274236818,0.8865333333333333,28.4,9.4,1.3,0.222,0.612,-0.35000000000000037,
7,Scottie Barnes,TOR,PF,24.0,18.0,18.0,593.0,18.83137383003519,1.2746971363511466,0.96,1919.2641806917013,0.8917333333333333,20.7,4.6,1.0,0.168,0.589,0.7799999999999998,31.0
8,Isaiah Stewart,DET,C,24.0,14.0,5.0,320.0,18.72624616740555,0.2095561525182206,0.484,2022.2444559925348,0.9056533333333334,16.8,1.1,0.2,0.157,0.614,1.1499999999999997,
9,Robert Williams,POR,C,28.0,11.0,0.0,144.0,18.64237517845424,0.2572666744408157,0.3,2009.5793229053309,0.9060533333333335,21.4,3.8,0.2,0.189,0.657,-1.0099999999999996,
10,Kristaps Porziņģis,ATL,C,30.0,11.0,11.0,295.0,18.59053524617888,0.7045638995960479,0.5740000000000001,1934.4700843162589,0.8920666666666667,22.2,5.0,0.5,0.203,0.607,0.3200000000000002,
